Nombre Producto,Sub Categoría Producto,Categoría Producto,Color,Fecha,Cantidad,Precio,Nombre Cliente,Genero,Ingreso Anual,Estado Civil,Rango Edad,Tipo Tienda,Nombre Tienda,País,Fecha actual,Costo
Litware Microwave 0.9CuFt E090 Rojo,Microondas,Electrodomésticos,Rojo,08/12/2018,2,"99,99","Sanders, Jasmine",Femenino,80000,Soltero,Entre 41 y 50 años,Online,Tienda Fortaleza,Brasil,17/11/2025,69
Litware Sistema Home Theater 5.1 Channel M511 Negro,Sistema Home Theater,TV y Video,Negro,08/12/2018,1,699,"Chen, Cameron",Masculino,80000,Soltero,Entre 41 y 50 años,Catálogo,Tienda Río de Janeiro,Brasil,17/11/2025,463
A. Datum SLR Camera X139 Plateado,Cámaras digitales SLR,Cámaras y videocámaras,Plateado,08/12/2018,1,699,"Chen, Cameron",Masculino,80000,Soltero,Entre 41 y 50 años,Catálogo,Tienda Río de Janeiro,Brasil,17/11/2025,487
Litware Desk Lamp E1020 Blanco,Lámparas,Electrodomésticos,Blanco,08/12/2018,51,699,"Chen, Cameron",Masculino,80000,Soltero,Entre 41 y 50 años,Catálogo,Tienda Río de Janeiro,Brasil,17/11/2025,515
Audífono Adapter for Contoso Teléfono E130 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,08/12/2018,4,250,"Jenkins, Logan",Masculino,90000,Soltero,Entre 51 y 60 años,Tienda,Tienda Porto Alegre,Brasil,17/11/2025,183
Contoso Original K1m Li-Ion Standard Battery E170 Dorado,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Dorado,07/12/2018,1,250,"Morgan, Joan",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,16/11/2025,177
MGS Flight Simulator 2009 E179,Juegos para Descargar,Juegos y juguetes,Azul,07/12/2018,1,32,"Howard, Jan",Femenino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,16/11/2025,24
Fabrikam Microwave 0.8CuFt E0800 Dorado,Microondas,Electrodomésticos,Dorado,07/12/2018,2,"635,99","Lopez, Mackenzie",Femenino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,16/11/2025,433
MGS Rise of Nations2009 E152,Juegos para Descargar,Juegos y juguetes,Dorado,07/12/2018,1,43,"Perry, Riley",Femenino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,31
Contoso Teléfono Tough Skin Case E140 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,07/12/2018,1,"23,72","Hayes, Samantha",Femenino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,15
The Teléfono Company Touch Screen Teléfonos - CRT M11 Gris Plata,Teléfonos de pantalla táctil,Teléfonos Móviles,Gris Plata,07/12/2018,1,189,"Clark, Thomas",Masculino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,133
The Teléfono Company Smart phone 160x160 M26 Negro,Teléfonos Inteligentes y PDAs,Teléfonos Móviles,Negro,07/12/2018,51,208,"Kelly, Patrick",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,16/11/2025,135
Fabrikam Laptop16W M6080 Negro,Laptops,Computadoras,Negro,07/12/2018,51,699,"Kumar, Ryan",Masculino,30000,Soltero,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,450
The Teléfono Company PDA Teléfono Unlocked 3.7 inches M510 Negro,Teléfonos Inteligentes y PDAs,Teléfonos Móviles,Negro,07/12/2018,1,238,"Baker, Jonathan",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,16/11/2025,147
"Adventure Works 20"" CRT TV E15 Blanco",Televisores,TV y Video,Blanco,07/12/2018,1,589,"Alexander, Noah",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,361
The Teléfono Company Smart phone 4 GB of Memory M300 Gris Plata,Teléfonos Inteligentes y PDAs,Teléfonos Móviles,Gris Plata,07/12/2018,4,589,"Alexander, Noah",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,367
Contoso Azultooth Active Audífonos L15 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,07/12/2018,1,"129,99","Baker, Thomas",Masculino,30000,Casado,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,88
Proseware Air Conditioner 6000BTU E180 Dorado,Aires Acondicionados,Electrodomésticos,Dorado,07/12/2018,3,"199,99","Simmons, Julia",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,16/11/2025,128
"Litware 14"" High Velocity Floor Fan E801 Negro",Ventiladores,Electrodomésticos,Negro,07/12/2018,51,889,"Smith, Ian",Masculino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,16/11/2025,603
Contoso Azultooth Active Audífonos L15 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,07/12/2018,1,"129,99","Hughes, Alyssa",Femenino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,16/11/2025,93
Adventure Works Desktop PC1.60 ED160 Dorado,Desktops,Computadoras,Dorado,07/12/2018,2,"269,95","Blue, Maria",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,16/11/2025,174
MGS Hand Games for 12-16 boys E600 Negro,Juegos en caja,Juegos y juguetes,Negro,07/12/2018,1,250,"Ross, Thomas",Masculino,30000,Casado,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,173
The Teléfono Company PDA Palm 3.5 inch M810 Negro,Teléfonos Inteligentes y PDAs,Teléfonos Móviles,Negro,07/12/2018,3,280,"Bailey, Sara",Femenino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,189
The Teléfono Company Touch Screen Teléfonos 4-Wire/ Built-in M205 Plateado,Teléfonos de pantalla táctil,Teléfonos Móviles,Plateado,07/12/2018,1,568,"Prasad, Ann",Femenino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,369
Litware Microwave 0.9CuFt E090 Negro,Microondas,Electrodomésticos,Negro,07/12/2018,1,"99,99","Serrano, Brandi",Femenino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,73
WWI Screen 113in M1610 Negro,Proyectores y pantallas,Computadoras,Negro,07/12/2018,3,299,"Ross, Wyatt",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,16/11/2025,193
The Teléfono Company PDA Handheld 3.5 inch M610 Dorado,Teléfonos Inteligentes y PDAs,Teléfonos Móviles,Dorado,07/12/2018,3,255,"Nelson, Alexandra",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,162
Contoso 32GB Video MP3 Player M3200 Naranja,MP4&MP3,Audio,Naranja,07/12/2018,1,627,"Wright, Richard",Masculino,70000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,400
Proseware Desk Lamp E0130 Azul,Lámparas,Electrodomésticos,Azul,07/12/2018,1,"79,95","Powell, Brittany",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,59
Litware Sistema Home Theater 2.1 Channel E210 Marrón,Sistema Home Theater,TV y Video,Marrón,07/12/2018,51,299,"Saunders, Darren",Masculino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,16/11/2025,198
"Litware 14"" High Velocity Floor Fan E801 Dorado",Ventiladores,Electrodomésticos,Dorado,07/12/2018,1,"44,99","Murphy, Jessica",Femenino,90000,Soltero,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,16/11/2025,32
Fabrikam Social videographer 1'' 25mm E400 Negro,Videocámaras,Cámaras y videocámaras,Negro,07/12/2018,1,180,"Diaz, Angelica",Femenino,30000,Casado,Mayor a 61 años,Revendedora,Tienda Fortaleza,Brasil,16/11/2025,121
Audífono Adapter for Contoso Teléfono E130 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,06/12/2018,1,250,"Hall, James",Masculino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,179
SV Hand Games women M40 Negro,Juegos en caja,Juegos y juguetes,Negro,06/12/2018,2,250,"Lobao, Alexandre",Masculino,60000,Casado,Entre 41 y 50 años,Tienda,Tienda Chicago,Estados Unidos,15/11/2025,178
Contoso Education Essentials Bundle M300 Blanco,Accesorios de Computadoras,Computadoras,Blanco,06/12/2018,1,250,"Mitchell, Rebecca",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Porto Alegre,Brasil,15/11/2025,166
Fabrikam Refrigerator 1.7CuFt E1200 Marrón,Refrigeradores,Electrodomésticos,Marrón,06/12/2018,1,"129,99","Foster, Brianna",Femenino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,78
SV DVD 55DVD Storage Binder M56 Rojo,Películas DVD,"Música, películas y audiolibros",Rojo,06/12/2018,1,250,"Flores, Jocelyn",Femenino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,162
Litware 20'' Box Fan E401 Negro,Ventiladores,Electrodomésticos,Negro,06/12/2018,1,"25,99","Wright, Jesse",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,16
Contoso Dual Handset Cordless Phone System E20 Gris Plata,Teléfonos para el hogar y la oficina,Teléfonos Móviles,Gris Plata,06/12/2018,1,250,"Evans, Hailey",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,15/11/2025,166
Contoso General Soft Carrying Case E318 Azul,Accesorios Cámaras y Videocámaras,Cámaras y videocámaras,Azul,06/12/2018,1,"14,99","Uppal, Sunil",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,10
Contoso Rubberized Skin NegroBerry E100 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,06/12/2018,1,"14,99","Zhang, Kyle",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,9
Adventure Works LCD19 E108 Blanco,MAC,Computadoras,Blanco,06/12/2018,1,139,"Garcia, Blake",Masculino,70000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,103
Litware 92mm DBB Case Fan E1101 Blanco,Ventiladores,Electrodomésticos,Blanco,06/12/2018,3,"14,99","Morris, Brooke",Femenino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,11
Litware USB Durable Desk Soft Fan E1401 Azul,Ventiladores,Electrodomésticos,Azul,06/12/2018,1,30,"Howard, Christina",Femenino,40000,Soltero,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,21
Contoso SLR Camera X143 Dorado,Cámaras digitales SLR,Cámaras y videocámaras,Dorado,06/12/2018,1,595,"Rodriguez, Emmanuel",Masculino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,403
The Teléfono Company Finger Touch Screen Teléfonos M30 Plateado,Teléfonos de pantalla táctil,Teléfonos Móviles,Plateado,06/12/2018,4,199,"Rogers, Zoe",Femenino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,139
Litware 180 CFM Vertical Discharge Fan X450 Blanco,Ventiladores,Electrodomésticos,Blanco,06/12/2018,51,"877,5","Harris, Austin",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,570
Contoso General Carrying Case E304 Negro,Accesorios Cámaras y Videocámaras,Cámaras y videocámaras,Negro,06/12/2018,1,"19,99","Flores, Taylor",Femenino,40000,Casado,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,14
Audífono Adapter for Contoso Teléfono E130 Dorado,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Dorado,06/12/2018,1,250,"Taylor, Jose",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,164
Cigarette Lighter Adapter for Contoso Teléfonos E110 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,06/12/2018,4,"24,99","Hayes, Kayla",Femenino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,16
SV 16xDVD M330 Negro,VCD & DVD,TV y Video,Negro,06/12/2018,4,109,"Butler, Nathan",Masculino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,81
WWI Chandelier M815 Blanco,Lámparas,Electrodomésticos,Blanco,06/12/2018,1,"268,5","White, Brandon",Masculino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,15/11/2025,184
Contoso Teléfono Tough Skin Case E140 Dorado,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Dorado,06/12/2018,1,"23,72","Diaz, Dalton",Masculino,30000,Casado,Mayor a 61 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,17
Contoso Rubberized Skin NegroBerry E100 Blanco,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Blanco,06/12/2018,3,"14,99","Thompson, Jonathan",Masculino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,11
Contoso Lens Cap Keeper E314 Rosa,Accesorios Cámaras y Videocámaras,Cámaras y videocámaras,Rosa,06/12/2018,1,250,"Bell, Destiny",Femenino,30000,Casado,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,15/11/2025,184
Contoso Water Heater 4.3GPM M1250 Azul,Calentadores de agua,Electrodomésticos,Azul,06/12/2018,1,493,"Chande, Barbara",Femenino,40000,Casado,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,336
MGS Hand Games for kids E300 Amarillo,Juegos en caja,Juegos y juguetes,Amarillo,06/12/2018,1,250,"Butler, Anna",Femenino,50000,Casado,Entre 41 y 50 años,Tienda,Tienda Río de Janeiro,Brasil,15/11/2025,169
SV Hand Games women M40 Negro,Juegos en caja,Juegos y juguetes,Negro,06/12/2018,1,250,"Collins, Nathan",Masculino,60000,Casado,Mayor a 61 años,Tienda,Tienda Florida,Estados Unidos,15/11/2025,163
SV Hand Games women M40 Negro,Juegos en caja,Juegos y juguetes,Negro,06/12/2018,1,250,"Rubio, Javier",Masculino,60000,Casado,Mayor a 61 años,Tienda,Tienda Florida,Estados Unidos,15/11/2025,155
SV Hand Games women M40 Negro,Juegos en caja,Juegos y juguetes,Negro,06/12/2018,1,250,"Patterson, Nicole",Femenino,60000,Casado,Mayor a 61 años,Tienda,Tienda Nueva York,Estados Unidos,15/11/2025,175
SV Hand Games women M40 Negro,Juegos en caja,Juegos y juguetes,Negro,06/12/2018,1,250,"Taylor, Marcus",Masculino,60000,Soltero,Mayor a 61 años,Tienda,Tienda Florida,Estados Unidos,15/11/2025,161
SV Hand Games women M40 Negro,Juegos en caja,Juegos y juguetes,Negro,06/12/2018,4,250,"Lopez, Isaiah",Masculino,60000,Casado,Mayor a 61 años,Tienda,Tienda Florida,Estados Unidos,15/11/2025,170
SV Hand Games women M40 Negro,Juegos en caja,Juegos y juguetes,Negro,06/12/2018,1,250,"Hernandez, Eduardo",Masculino,60000,Soltero,Entre 41 y 50 años,Tienda,Tienda Dallas,Estados Unidos,15/11/2025,158
SV Hand Games women M40 Negro,Juegos en caja,Juegos y juguetes,Negro,06/12/2018,1,250,"Griffin, Haley",Femenino,60000,Casado,Entre 41 y 50 años,Tienda,Tienda Dallas,Estados Unidos,15/11/2025,173
SV Hand Games women M40 Negro,Juegos en caja,Juegos y juguetes,Negro,06/12/2018,1,250,"Cox, Arianna",Femenino,60000,Soltero,Entre 41 y 50 años,Tienda,Tienda Los Angeles,Estados Unidos,15/11/2025,172
Proseware CRT19 E201 Blanco,MAC,Computadoras,Blanco,05/12/2018,2,69,"Thompson, Edward",Masculino,50000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,14/11/2025,47
"The Teléfono Company Touch Screen Teléfonos 26-2.2"" M200 Plateado",Teléfonos de pantalla táctil,Teléfonos Móviles,Plateado,05/12/2018,1,230,"West, Isabella",Femenino,40000,Casado,Entre 41 y 50 años,Tienda,Tienda Porto Alegre,Brasil,14/11/2025,157
Contoso Teléfono Tough Skin Case E140 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,05/12/2018,1,"23,72","Simmons, Lucas",Masculino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Porto Alegre,Brasil,14/11/2025,15
Contoso Screen 80in E080 Dorado,Proyectores y pantallas,Computadoras,Dorado,05/12/2018,1,109,"Hughes, Fernando",Masculino,40000,Soltero,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,14/11/2025,68
"Contoso SLR Camera 35"" M358 Rosa",Cámaras digitales SLR,Cámaras y videocámaras,Rosa,05/12/2018,51,358,"Morgan, Adrian",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,14/11/2025,250
Contoso Screen 80in E080 Negro,Proyectores y pantallas,Computadoras,Negro,05/12/2018,2,109,"Baker, Stephanie",Femenino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Porto Alegre,Brasil,14/11/2025,71
Contoso 4-Line Corded Cordless Telephone M203 Negro,Teléfonos para el hogar y la oficina,Teléfonos Móviles,Negro,05/12/2018,4,"32,99","Williams, Lauren",Femenino,80000,Soltero,Mayor a 61 años,Tienda,Tienda Fortaleza,Brasil,14/11/2025,20
Contoso Touch Stylus Pen E150 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,05/12/2018,2,250,"Washington, Paige",Femenino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,14/11/2025,170
SV DVD 9-Inch Player Portable M300 Blanco,Películas DVD,"Música, películas y audiolibros",Blanco,05/12/2018,1,"159,99","Wood, Seth",Masculino,50000,Soltero,Entre 41 y 50 años,Tienda,Tienda Porto Alegre,Brasil,14/11/2025,103
Litware Wall Lamp E3015 Dorado,Lámparas,Electrodomésticos,Dorado,05/12/2018,1,"101,99","Murphy, Christina",Femenino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,14/11/2025,75
Litware Floor Lamp M2015 Dorado,Lámparas,Electrodomésticos,Dorado,05/12/2018,51,339,"Phillips, Chloe",Femenino,50000,Casado,Entre 41 y 50 años,Tienda,Tienda Porto Alegre,Brasil,14/11/2025,230
Contoso Rubberized Skin NegroBerry E100 Negro,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Negro,05/12/2018,1,"14,99","Ramirez, Anna",Femenino,80000,Soltero,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,14/11/2025,11
Contoso Rubberized Snap-Activo Cover Hard Case Cell Teléfono Protector E160 Dorado,Accesorios de Teléfonos Móviles,Teléfonos Móviles,Dorado,05/12/2018,1,250,"Thompson, Joseph",Masculino,80000,Casado,Entre 51 y 60 años,Tienda,Tienda Fortaleza,Brasil,14/11/2025,179
Litware 3-Speed Oscillating High-Performance Fan E201 Blanco,Ventiladores,Electrodomésticos,Blanco,05/12/2018,1,"29,99","Alexander, Jeremy",Masculino,40000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,14/11/2025,18
Contoso Single-line phones E10 Gris Plata,Teléfonos para el hogar y la oficina,Teléfonos Móviles,Gris Plata,05/12/2018,1,250,"Hernandez, Carlos",Masculino,40000,Casado,Entre 41 y 50 años,Tienda,Tienda Fortaleza,Brasil,14/11/2025,178
